COLOR ID,COLOR NAME,COLOR CODE,COLOR FAMILY,COLOR_TYPE,COLOUR VALUE,FINISH,RGB,PANTONE_CODE,H&M CODE
22-205,YELLOW,MEDIUM,YELLOW MEDIUM,,,,,,
22-204,YELLOW,DUSTY LIGHT,YELLOW DUSTY LIGHT,,,,,,
22-203,YELLOW,DUSTY LIGHT,YELLOW DUSTY LIGHT,,,,,,
22-202,YELLOW,DARK,YELLOW DARK,,,,,,
22-105,YELLOW,DUSTY LIGHT,YELLOW DUSTY LIGHT,,,,,,
21-316,YELLOW,BRIGHT,YELLOW BRIGHT,,,,,,
21-315,YELLOW,BRIGHT,YELLOW BRIGHT,,,,,,
21-314,YELLOW,BRIGHT,YELLOW BRIGHT,,,,,,
21-313,YELLOW,BRIGHT,YELLOW BRIGHT,,,,,,
21-312,YELLOW,LIGHT,YELLOW LIGHT,,,,,,
21-311,YELLOW,LIGHT,YELLOW LIGHT,,,,,,
21-310,YELLOW,MEDIUM,YELLOW MEDIUM,,,,,,
21-309,YELLOW,BRIGHT,YELLOW BRIGHT,,,,,,
21-308,YELLOW,BRIGHT,YELLOW BRIGHT,,,,,,
21-307,YELLOW,LIGHT,YELLOW LIGHT,,,,,,
21-306,YELLOW,LIGHT,YELLOW LIGHT,,,,,,
21-305,YELLOW,LIGHT,YELLOW LIGHT,,,,,,
21-303,YELLOW,LIGHT,YELLOW LIGHT,,,,,,
21-218,YELLOW,LIGHT,YELLOW LIGHT,,,,,,
21-217,YELLOW,LIGHT,YELLOW LIGHT,,,,,,
21-216,YELLOW,LIGHT,YELLOW LIGHT,,,,,,
21-215,YELLOW,DUSTY LIGHT,YELLOW DUSTY LIGHT,,,,,,
21-213,YELLOW,LIGHT,YELLOW LIGHT,,,,,,
21-212,YELLOW,LIGHT,YELLOW LIGHT,,,,,,
21-211,YELLOW,LIGHT,YELLOW LIGHT,,,,,,
21-210,YELLOW,LIGHT,YELLOW LIGHT,,,,,,
21-209,YELLOW,LIGHT,YELLOW LIGHT,,,,,,
21-208,YELLOW,LIGHT,YELLOW LIGHT,,,,,,
21-206,YELLOW,LIGHT,YELLOW LIGHT,,,,,,
21-205,YELLOW,DUSTY LIGHT,YELLOW DUSTY LIGHT,,,,,,
21-202,YELLOW,LIGHT,YELLOW LIGHT,,,,,,
21-201,YELLOW,LIGHT,YELLOW LIGHT,,,,,,
21-105,YELLOW,DUSTY LIGHT,YELLOW DUSTY LIGHT,,,,,,
21-104,YELLOW,DUSTY LIGHT,YELLOW DUSTY LIGHT,,,,,,
21-103,YELLOW,DUSTY LIGHT,YELLOW DUSTY LIGHT,,,,,,
21-102,YELLOW,LIGHT,YELLOW LIGHT,,,,,,
21-101,YELLOW,DUSTY LIGHT,YELLOW DUSTY LIGHT,,,,,,
20-319,YELLOW,BRIGHT,YELLOW BRIGHT,,,,,,
20-107,YELLOW,BRIGHT,YELLOW BRIGHT,,,,,,
20-106,YELLOW,BRIGHT,YELLOW BRIGHT,,,,,,
20-105,YELLOW,BRIGHT,YELLOW BRIGHT,,,,,,
20-104,YELLOW,BRIGHT,YELLOW BRIGHT,,,,,,
20-103,YELLOW,BRIGHT,YELLOW BRIGHT,,,,,,
20-102,YELLOW,BRIGHT,YELLOW BRIGHT,,,,,,
20-101,YELLOW,LIGHT,YELLOW LIGHT,,,,,,
12-136,YELLOW,DUSTY LIGHT,YELLOW DUSTY LIGHT,,,,,,
12-128,YELLOW,DUSTY LIGHT,YELLOW DUSTY LIGHT,,,,,,
97-130,YELLOWISH GREEN,DUSTY LIGHT,YELLOWISH GREEN DUSTY LIGHT,,,,,,
90-109,YELLOWISH GREEN,BRIGHT,YELLOWISH GREEN BRIGHT,,,,,,
17-229,BROWN,DARK,BROWN DARK,,,,,,
